No.;Time;Comment;Scramble;Date;P.1
1;22.77;;F2 R2 F2 R2 U' L2 D2 F2 L2 D' U' R F L' B' L B2 F2 L D;2022-03-02 15:08:21;22.77
2;19.80;;D' R' B' U' B2 U R2 D B2 L2 B2 D2 F2 D R' U2 L B' F D' F2;2022-03-02 15:11:02;19.80
3;15.64;;U2 F2 L2 R2 D' B2 D L2 U2 L2 U' R B' F' L' D2 U' L B2 L2;2022-03-02 15:11:40;15.64
4;16.92;;B2 L' U F' R2 U B R' U B2 D R2 B2 D B2 R2 L2 D L2 R';2022-03-02 15:12:12;16.92
5;12.02;;D' L2 R2 D' L2 B2 U' R2 U L2 U2 R2 L' B D2 U' F' L B2 R2 D;2022-03-02 15:12:46;12.02
6;15.29;;R' L2 D R2 U' R2 D L2 F2 L2 U' L2 R B' U' B F2 U2 L D' R';2022-03-02 15:13:39;15.29
7;15.27;;R' B2 R' B L B2 L' B2 U R2 D B2 D L2 B2 U L2 D' L2 R B;2022-03-02 15:14:11;15.27
8;18.14;;R2 F2 R2 D' R2 U' L' R2 F' R2 D2 L2 F' R2 U2 B U2 F' R2 D;2022-03-02 15:14:43;18.14
9;15.31;;B2 R' F' R2 L' B U' D R2 L2 F2 D2 L2 B D2 B U2 F L2;2022-03-02 15:15:15;15.31
10;20.56;;B D F R' B U' F U' R L2 U R2 U' B2 U F2 D B2 U F2 D;2022-03-02 15:15:43;20.56
11;15.56;;D L2 F B2 L B' D' R' D2 B2 R2 D' B2 U' F2 U2 L2 U2 R2 B2 R';2022-03-02 15:16:19;15.56
12;18.18;;F' D B L B U B' F2 U R2 U F2 U2 B2 R2 D' F2 D2 L2 B' L';2022-03-02 15:16:52;18.18
13;16.05;;D2 R L2 F' L2 F U2 F' D2 B2 L2 B2 R2 F U F' D L' U' F U';2022-03-02 15:17:26;16.05
14;15.02;;F2 D L2 U F2 D2 U B2 U' B2 F' R' B2 R' D' B F2 U' B' D';2022-03-02 15:17:58;15.02
