No.;Time;Comment;Scramble;Date;P.1
1;7.050;;U F D2 U2 L' R2 F2 R D2 L2 U2 R' D2 B F2 U' R2 U F' D';2022-02-25 21:00:02;7.050
2;8.820;;L2 B' D2 L2 F2 L2 D' R2 D2 R2 U' R2 B U2 L F2 D2 L D R';2022-02-25 21:01:34;8.820
3;8.520;;D' R F2 D B2 U' F2 U2 F2 R2 U R2 U R2 B D2 F D L' B2 D';2022-02-25 21:01:55;8.520
4;9.560;;B' L D2 L2 D2 L F2 L U2 R D2 F2 U2 F D' L' D' B' F U' B2;2022-02-25 21:02:20;9.560
5;5.640;;D R2 D2 L2 F2 D L2 U' B2 L2 U L B2 U F' D R U' F' L;2022-02-25 21:03:00;5.640
6;8.420;;D' U2 B U2 F' R2 U2 B' R2 F2 D2 F' R U' R' D2 F' L' F' R;2022-02-25 21:04:06;8.420
7;10.770;;B L D B' L2 D2 F' R2 D2 F' D2 L2 B' F L' F' R' U2 R2 D F';2022-02-25 21:04:30;10.770
8;8.960;;R2 B2 D' F2 D R2 F2 L2 D2 L2 D2 L' B R D2 F U F2 R2 U2 R';2022-02-25 21:04:57;8.960
9;6.680;;F R2 U2 B2 U' F2 D B2 D' B2 L2 U F' D' B' L' U F2 D B' R';2022-02-25 21:05:18;6.680
10;7.140;;L2 B D2 F' R2 F U2 L2 U2 B F' U R D L F' L2 U R' F2;2022-02-25 21:05:37;7.140
11;8.810;;R' U2 F B U' D2 L' D F D2 L' U2 B2 L' B2 D2 B2 U2 R' B2;2022-02-25 21:06:03;8.810
12;7.890;;D2 R U' R2 U2 B' F' U2 R2 U2 L2 B D2 U2 L' U B R2 F D F2;2022-02-25 21:06:30;7.890
13;8.810;;D B2 U L2 R2 U' R2 D U B' U L F L D2 U' R' F L;2022-02-25 21:06:57;8.810
14;8.690;;B2 L D2 R B2 U F R2 L2 F2 L2 D' L2 U' R2 U' L2 F2 D2 F;2022-02-25 21:07:19;8.690
15;8.170;;F2 U' L2 B2 D2 F2 U2 F2 L2 U' B2 R2 F R U' L U2 R2 U B' U2;2022-02-25 21:07:41;8.170
16;8.220;;U F' D2 R2 D2 F2 L2 U2 F2 L U2 R2 F2 B L' U F D' B' D';2022-02-25 21:08:46;8.220
17;9.280;;R B' R F2 R' B2 R' B2 D2 R' B2 L' U' F' R B R2 F2 L';2022-02-25 21:09:06;9.280
18;9.550;;U' B2 D B2 L2 F2 D L2 U' B2 U2 L' U B' D' F2 U B2 F' D;2022-02-25 21:09:27;9.550
19;8.690;;F2 U F2 U' B2 U' L2 F2 U2 L2 F2 R' D2 L2 F' U L2 R U' L' B';2022-02-25 21:09:47;8.690
20;7.850;;D R2 B2 L2 D2 R2 D' B2 R2 D' F2 B' R2 D2 R' B R' U2 L2 B;2022-02-25 21:10:14;7.850
21;8.620;;F' D B2 U' F2 D2 R2 U B2 F2 U' F U2 B L' R' F2 U L' F';2022-02-25 21:10:40;8.620
22;7.790;;F D2 F' R F D2 L B R2 U R2 D2 L2 U' L2 D' R2 B2 L2 R;2022-02-25 21:11:07;7.790
23;8.190;;L' U' F' B' R2 U D2 L' F' U2 F' L2 U2 B2 D2 F2 B' R2 D2 F L';2022-02-25 21:11:28;8.190
24;9.180;;R2 L F B2 R' B' R2 F2 D F2 D F2 L2 B2 U' B2 U R' F;2022-02-25 21:16:57;9.180
25;8.760;;F' R2 U2 R2 B2 U B2 D2 L2 B2 D B2 R' D B' F2 U' B' D2 F R';2022-02-25 21:17:18;8.760
26;7.690;;F' R B' F' L2 F2 L2 U2 B2 F' R2 U B' L F R2 B2 F;2022-02-25 21:18:05;7.690
27;7.930;;L2 D2 U2 R U2 L' B2 D2 R B2 D2 R2 D' R U R2 D L' F D;2022-02-25 21:19:00;7.930
28;8.680;;F2 D2 L2 R2 U L2 U' F2 D L2 D' B D' L2 R' B2 U' F U L2;2022-02-25 21:19:33;8.680
29;9.010;;L2 R2 F U2 F R2 B L2 F' D2 U2 F' D' F' L R2 B D R B;2022-02-25 21:20:21;9.010
30;8.950;;U' F D2 B U2 B2 R2 F U2 L2 D2 F R D' B' U' L' F2 R B' U2;2022-02-25 21:20:43;8.950
31;9.250;;R2 U2 F2 U L2 U F2 U L2 R2 B L' R' U2 F L2 F R' D' U';2022-02-25 21:21:03;9.250
32;8.530;;B2 U' F B R' U2 F2 U F R2 U2 B2 R U2 L' F2 L2 F2 D2 B2;2022-02-25 21:21:24;8.530
