No.;Time;Comment;Scramble;Date;P.1
1;56.220;;F R L Rw2 B2 R L D2 Lw2 F U Rw' Uw2 Rw' L2 Uw' R Uw' D2 Rw Uw' Dw2 Fw2 U R2 F2 R2 Dw Uw2 Bw' D Bw2 Dw2 R2 Rw' U2 Bw R2 U2 F' Lw2 Dw' L' R2 B2 Fw2 Rw2 U R2 Bw' L2 Lw2 Fw' F2 L' R' Fw' Lw' D2 B;2023-04-01 14:17:07;56.220
2;55.960;;Bw' Rw' L2 Fw Lw' F' Rw2 Dw' Uw2 R2 Fw2 Rw' Uw2 Bw2 Lw2 D2 R' D' F' L' Fw2 Dw Bw' F2 B2 U' L' D Bw' Dw B2 D Bw' R' Lw2 F' Lw2 Rw' F2 Uw2 Bw' L U' Uw Rw Uw' F' Dw' Bw Rw2 B2 F Dw2 Lw' Uw Rw L Fw' Lw2 Bw;2023-04-01 15:01:19;55.960
3;57.562;;U' D R' L Uw' U Bw2 Fw2 Uw' F2 B' Rw2 Bw2 D2 F Rw B U' F Lw2 B' L' F2 Rw2 U2 D2 L' Uw2 B2 Fw' R Uw' Rw2 Uw2 Bw' Uw B Lw2 Rw D U2 Fw' Bw Lw' L' Bw' U' Uw2 L' F Dw' Uw2 R Fw2 B' Dw2 Fw2 U2 L' R';2023-04-01 15:02:41;57.562
4;56.856;;R B R F2 Lw R' Fw' L' Dw Rw' L' F L Rw R2 B2 Rw2 Bw' R2 Dw Lw Uw' F' Bw2 Fw L' Lw2 Rw B2 L2 U D Rw F U' Bw' R' Rw Bw' Fw' Uw' U' Bw' F U Lw2 Dw2 D2 L2 Rw' F L' Uw2 Bw' B2 Lw Bw' F B Rw;2023-04-01 15:05:50;56.856
5;50.085;;U2 L Rw2 Uw L F2 R B D B' Rw' Bw Fw' Dw' Rw2 Lw2 R' B2 Lw2 Uw2 U2 D2 Bw' F2 L Uw L' D' U Rw2 Fw' U2 R Rw U' Bw2 Fw D' Uw' Fw' B2 Lw2 Uw2 R2 Dw' D L2 Lw Rw' F' Fw2 D' R' Fw U Rw' D2 Uw' Rw2 R2;2023-04-01 15:16:46;50.085
6;54.990;;B' Uw2 L' Lw B' L F Bw Dw R2 Uw2 F' Bw2 Rw2 Uw2 Dw2 Rw Dw' B Dw' B Rw2 Fw Bw' Uw Dw2 Bw Rw Dw2 Fw2 F L Rw Fw2 Bw2 Uw U' Fw F Lw2 B2 Rw Fw' B2 D' Uw' Fw' Uw' Rw Dw2 B Bw' Rw2 Lw2 F' Fw2 Dw' Lw' Dw' L';2023-04-01 15:19:01;54.990
7;49.746;;Lw R' D2 F' Rw' Bw Lw' F Rw' U' D F2 Bw Uw2 R Dw2 Fw R' B' Rw2 U' Rw2 B2 Fw' Lw B Dw' F Uw D R2 Bw Fw B2 Uw' U2 Dw2 B U D Uw2 B Uw2 Lw' F' U Dw Uw2 R2 Lw' L Rw2 Fw2 Dw2 Rw2 U' Fw' Rw Uw L';2023-04-01 15:20:45;49.746
8;53.835;;U2 D' Dw2 Fw' R' D2 F L' Lw Fw2 Dw B2 Fw R L Dw Bw F2 B' D F' Lw F' Fw2 B2 Lw Fw B Lw2 Dw2 F' R' D2 B2 D2 F' U L2 F' Uw Rw' Dw' Rw L2 Bw U Dw2 D L' U' Lw2 Bw' Fw' L B Lw2 Bw2 F L Bw2;2023-04-01 15:22:10;53.835
9;52.190;;F' R B Dw' R2 Lw' Fw U' L Lw' Fw' Dw2 F2 Uw Fw F' Uw2 F2 L2 R F' D' F Fw L2 Rw' Bw D' Uw' Rw' F L Uw' D2 Lw Bw F2 U Bw R' Lw Fw2 Bw F' Rw Dw L Rw2 B' Bw2 U Rw2 U' D Dw' L' D U2 Fw2 Dw2;2023-04-01 15:24:04;52.190
10;54.822;;Dw2 B2 R' D' R' Dw' U L Bw' L R' F Bw2 Fw Rw Lw' F2 L' Fw B' Bw' L Lw2 Bw' B' F D2 L2 D2 U' L' F2 Uw2 Bw2 Fw2 R L Uw' L2 Rw Lw' F' R2 Bw' Rw2 U' D' Bw' R2 Uw U Lw2 B2 Uw' R L2 B F R2 D;2023-04-01 15:26:28;54.822
11;54.972;;Rw2 L2 Fw' F2 B2 L' U L R Bw2 Lw' D2 F2 L' R' F Bw' Fw2 Dw' Bw2 Uw' Lw' D F Rw B L2 Uw2 U2 Fw F L2 U Dw2 B Fw Uw Bw' Lw' D Fw' Uw' Fw' L' Rw' Uw B Fw2 Lw2 Bw F' R2 B2 L2 Rw2 U2 F2 Bw Lw2 B';2023-04-01 15:30:24;54.972
12;59.043;;Uw2 L2 Rw' Fw2 Lw L' Dw D' U' F' Fw2 Lw2 Uw2 Bw' Rw Bw2 Uw Rw2 D Bw2 Fw' Dw Rw U' Dw Rw Uw F' R' L Rw Dw2 U L2 U2 F D2 Lw' Rw2 D' F Dw Rw U2 D' B2 Dw' Rw F2 D2 L2 Dw Rw Uw' B' F Bw2 Fw' U F2;2023-04-01 16:31:26;59.043
13;53.729;;U Lw Uw2 Rw Dw Uw2 U R2 Dw' F Uw' Lw' Bw U2 Rw' Uw2 L D' B' Dw' B Lw' Uw2 Bw' Uw' L' U Bw' R2 Fw Lw2 U' Fw Uw' U2 R2 D' Lw Dw Bw2 D2 Uw' Bw' Fw Lw2 R Fw' F U' Lw' Dw' Rw2 R2 B2 Dw' Lw2 B Dw Uw F;2023-04-01 16:33:01;53.729
14;52.510;;D' Bw' R' L2 Bw2 L U' D Rw2 L' Bw U2 Lw' Rw Fw L' U' R U B Lw Rw2 D2 L2 Bw' F B Uw D2 B2 R2 D R2 Lw Fw Dw Lw2 L Uw' B Lw' Rw' D2 Fw D' Fw2 Lw' R Fw' Dw L' Bw' Rw' F Bw2 Uw F' Lw Uw' Fw;2023-04-01 16:34:39;52.510
15;54.963;;R' Rw' Lw2 Bw' U' B D' R F B Rw' D Rw2 Uw2 Dw Bw2 D2 Rw2 Uw U Bw U2 D2 Lw L' B2 Fw2 Rw2 Lw2 U' Lw2 B' Bw2 Fw Dw Bw' U2 D' Bw L' Bw2 D' Uw' F2 Uw L D' R Dw L2 U2 L' Fw F' Lw2 Bw' L2 Rw2 R D;2023-04-01 16:37:05;54.963
16;56.991;;L' Rw2 Bw R Lw' B Bw Lw2 Fw' Lw2 Fw2 B F2 R2 B' Bw Lw F2 R2 B2 Uw' R2 Rw' D Bw' R2 F' R L' Dw2 B' F' L2 Bw' F2 D2 Uw B Rw Lw B' Fw2 U' Uw Fw' D2 Lw' L' Dw' Uw' Fw2 Lw' Dw2 U F Bw' Fw' Dw D' U2;2023-04-01 16:58:24;56.991
17;56.921;;U2 Rw Uw2 Dw2 Rw' Bw B' Fw Dw' B' Rw Dw' F Fw2 R2 Rw' F B R2 Lw Rw' D' Uw U2 Fw2 D' Fw' Bw B2 D R Lw B Dw2 D2 Bw2 D2 R' Fw2 L Uw2 D U' Rw2 Bw2 Lw2 B U B2 Bw2 Fw Dw2 D2 L R' U' Bw' Lw' L B;2023-04-01 17:00:16;56.921
18;56.227;;Fw' Bw2 Lw' Bw Lw U' L' B2 D Fw' D2 Fw' B2 Lw' Uw2 L' Fw2 R' Fw' Uw F' Dw' R Uw2 Fw Dw2 Lw2 Bw2 F2 Dw' Bw2 Fw2 L' Rw Bw2 D Fw2 Bw' R Dw' U2 L2 Uw2 B2 Dw U2 Bw2 Uw' Lw2 B F2 R' Lw' Uw R2 L' Fw F2 Dw' Fw;2023-04-01 22:41:04;56.227
19;57.907;;F' Rw2 Bw2 Rw F' Rw' R D' F Uw' U R' Uw' B2 D F2 Fw B Dw' Rw L' B Bw2 Lw Fw U2 R' B' F2 Fw' U B Rw2 D' Bw R2 D' Dw2 Fw B' F' Lw2 D2 Lw Uw' F' Lw L R U' L2 Uw Rw' R D2 B' Lw L' Fw' Lw2;2023-04-01 22:44:03;57.907
20;55.744;;B' Rw2 L Dw2 Lw' B' Fw R B2 Fw' L' Rw F2 Bw' Uw' F2 B Bw' L' Dw U Fw2 F B2 Bw2 L U F B Rw2 Fw Dw2 U2 D2 Bw2 L2 U2 R D2 Fw2 Rw2 Uw2 Rw2 Bw' Lw' Uw' U' L Bw B' Lw2 U2 D Bw' B' Dw2 L Lw' Uw' Fw;2023-04-02 11:02:01;55.744
21;56.314;;R' Fw' R' U F' Lw Uw2 Fw2 Dw2 Fw' F' R2 Fw' Dw2 R' L U2 F' B U Rw' Bw' Lw2 R' D2 Lw' B D Fw2 L R' Bw2 U2 Lw B Rw' Uw U2 F2 Rw' Fw L U' R2 L' F2 Dw2 Fw' Uw' Bw U' Dw L2 U Uw Dw B Fw' Bw' Uw';2023-04-02 11:06:51;56.314
22;57.218;;Fw' R' Lw2 Uw Fw' R B2 R Uw2 U Dw' B2 D' L2 B F2 Rw' Lw' D L2 Dw' Rw' F2 R2 Lw2 F' Rw Fw D Dw2 Uw Rw2 D Uw' Bw2 U' Uw' L2 Lw2 Bw' R2 Rw L' Fw2 Lw' Fw2 B Rw' Bw' Uw2 Lw' Dw' Bw Uw' U2 F2 Lw2 Uw2 B2 F;2023-04-02 11:09:42;57.218
23;56.922;;Dw U Lw' B Fw' Bw Uw D2 Dw Bw2 Dw' R D F Fw2 R2 Rw' D2 F Uw2 R2 Bw2 R' L' Uw2 F2 Rw' B2 Fw' F Rw U2 F2 Bw2 D Fw' Rw Bw L' B2 Dw2 L U Fw Uw Dw Fw Bw2 Dw' B2 Dw L Dw Bw B2 Uw B2 Rw2 L2 B;2023-04-02 13:52:15;56.922
24;55.913;;Rw' R B2 U' Lw2 Uw' B F2 Uw L' Fw' Rw Fw2 F B Bw Uw Rw' L' Uw' L R2 Fw2 Bw L2 Rw2 D' Lw F Bw' Fw2 Rw' B' D2 Uw2 Lw2 R2 L2 Bw2 R2 Bw Dw R Bw2 R Bw2 F2 Rw2 Uw' Bw2 Rw2 F D Fw Rw Bw' D' U2 Lw Rw;2023-04-02 13:53:44;55.913
25;56.575;;Bw' R2 Fw Uw2 Dw D' F2 Lw Uw2 L' Uw2 Lw2 Rw' B2 Fw' R' F R2 Lw U2 R Uw2 F2 Fw' Uw D R' L Uw' Dw F' Dw Lw2 L Bw' R B2 D U2 Fw' Dw Uw2 R' Dw2 Rw2 Dw' Fw L' F2 R2 Fw Uw' D' B2 Bw Fw' U Fw R U';2023-04-02 13:55:10;56.575
26;56.125;;F' Rw2 F' Bw' B Uw Fw2 U2 Uw D F2 B2 Uw B2 R' D' L Dw' Rw' L Bw Dw D R Dw Uw' Lw L Fw' Uw L' U Uw Bw Rw' R Lw' F2 U2 Lw Fw' Uw R' L D R B' F2 Lw Rw' Bw2 Uw2 Bw' R2 Rw2 Lw2 L2 Fw' Dw2 Uw';2023-04-02 13:56:37;56.125
27;56.371;;D' B Uw Rw2 D' U2 Fw' R B2 D U' R' F B2 U F U Uw' Rw L R' Dw2 Rw2 Uw Fw2 Rw B' L Fw F2 Dw2 Bw' Rw2 U' Rw' F Fw2 L2 Rw Fw2 D R Uw B' D2 L Fw' Lw D2 Fw' Uw' Bw' F2 R Rw2 D' R' D' F D';2023-04-02 13:58:18;56.371
28;56.603;;D2 U' Rw B Fw Bw Dw' Lw Uw2 Dw' U' Fw2 B' R U Uw' Dw L B2 D2 L Fw Bw' R' Rw' D Dw Rw' D' B Rw' F2 L U2 Bw F2 Lw R2 U' Rw Uw2 Fw U R2 Bw2 Fw2 D2 Lw2 U R' Lw2 L F R' D2 Rw B' L' Bw' F';2023-04-02 14:14:21;56.603
29;48.862;;Fw D' Bw D' B2 Uw Fw2 R2 U2 Uw' D' Dw' R Uw2 Fw Bw Uw2 Bw2 Fw' B F' Uw' U' Lw2 L Bw' F2 B2 Uw' U2 B R2 Fw' U D2 Dw' Rw2 Uw2 U' L' Fw R2 Uw' F Rw' U Lw Dw2 U' Bw R2 Dw2 Fw2 D' Dw' R Bw2 U2 Rw B';2023-04-02 14:20:49;48.862
30;55.717;;R U2 Bw' Uw' D2 Dw Rw2 R L' Uw2 Fw2 Dw2 Uw' Lw Fw D2 L D' Bw U' Fw2 B' Uw Dw B Uw' Bw Dw2 F R' U2 F2 U2 Uw2 Lw' Uw F R L' U Bw' Rw' L' F Dw' R' Dw F' U' B' U' Fw2 L' F' Bw' U Uw' Fw2 B2 D2;2023-04-02 14:22:50;55.717
31;55.937;;Rw' Fw' D' Rw2 D' L' D Rw2 F Rw2 Uw' L' F R2 Dw Uw' Bw Lw2 D2 Dw2 Uw' R2 L' U Dw' D' Fw' F Uw' Dw' B2 R2 Fw2 B' Rw2 B' Rw' B' F2 Dw' D' Lw U' Uw2 B' L2 F Rw Bw' Uw F' Rw Dw2 F' Bw2 Fw L' B2 R2 F;2023-04-02 14:24:26;55.937
32;49.699;;Fw2 L B' D2 Dw2 B' Bw2 L2 Dw2 U2 B2 Dw Uw Lw2 B2 Lw' D' Rw2 Fw Dw2 F2 Uw L B U Bw Fw2 B2 R' L2 Bw U Dw' Uw' F2 Bw Dw' L' Rw Fw2 D Uw' R2 Fw Uw2 D' Rw' L' R D2 L2 Rw' Fw Uw' B2 L' Bw2 D2 F2 Lw2;2023-04-02 14:25:57;49.699
33;56.374;;D2 Rw2 U' Dw Fw' L2 D2 B2 U Dw F' Uw2 R' L F R Fw' Uw' R2 Uw F2 D F Bw' Rw2 L2 U2 B' Rw Uw Dw R2 Lw2 D F' D Uw2 B U' Rw Uw R B2 Bw Dw2 L2 Lw' Bw2 R' Bw' Fw' L' Uw' F2 R2 F' Dw' Lw2 Fw2 Bw';2023-04-02 14:28:14;56.374
34;51.435;;Fw2 L' F Dw2 D2 Rw2 L Dw B L D' R' Bw2 L Dw2 U2 Fw2 U' R Bw' B' Dw U' Fw2 B Uw R2 Rw' F Rw' Uw2 R Uw F2 Bw B Uw' L2 Bw R' L2 U Dw2 Uw2 Lw R2 F Fw' B' Lw B2 Lw' Uw' D L' U2 R Rw F Rw';2023-04-02 14:29:48;51.435
