No.;Time;Comment;Scramble;Date;P.1
1;3.000;;F' R' F' R2 U2 R' F2 R2 F';2022-09-11 11:36:58;3.000
2;2.520;;F R2 U' F2 U2 F' R2 F' U2;2022-09-11 11:37:25;2.520
3;2.310;;R2 U2 F R' U' R U2 R U;2022-09-11 11:37:54;2.310
4;1.490;;U F U F' U R2 U R F;2022-09-11 11:38:08;1.490
5;2.540;;U2 F U' F R2 U' F' U2 F U';2022-09-11 11:38:21;2.540
6;2.880;;U F' U2 R F U' F R2 F2;2022-09-11 11:38:38;2.880
7;2.790;;R F U' F U' R' F R' F;2022-09-11 11:38:49;2.790
8;2.640;;U2 R2 U2 F2 R' U R2 F2 R2;2022-09-11 11:39:38;2.640
9;2.490;;U2 F2 U' F2 U' R U2 R2 F';2022-09-11 11:39:51;2.490
10;0.730;;R F U2 R F U2 R F R';2022-09-11 18:50:04;0.730
11;2.370;;U R F2 R' U R' F R' F2;2022-09-11 18:50:17;2.370
12;3.050;;R' U2 R' U' R F2 R' F2 U;2022-09-11 18:50:50;3.050
13;3.580;;F2 U2 R2 F2 U R2 F R' U2;2022-09-11 18:51:01;3.580
14;3.170;;U2 R F2 R F' R F R' F;2022-09-11 18:51:14;3.170
15;3.710;;F' R' F2 U F2 U F2 U F';2022-09-11 18:51:28;3.710
16;2.890;;F2 R2 U2 F R2 U' F' R' U';2022-09-11 18:51:39;2.890
17;2.460;;R' F' R2 F R' F U' F' R2;2022-09-11 18:51:48;2.460
18;3.030;;F2 U R2 F' U R U R' U R2;2022-09-11 18:51:58;3.030
19;1.150;;U F U R2 U' R' U2 F' R';2022-09-11 18:52:27;1.150
20;2.600;;F2 R' U2 F' U R' F2 R' F;2022-09-12 19:52:00;2.600
21;1.800;;U R2 U' F' U R' U F2 U';2022-09-12 19:52:11;1.800
22;2.660;;F' R U R' U2 F2 R U' R' F';2022-09-12 19:52:28;2.660
23;2.100;;U' R F R' F' R2 F R2 F;2022-09-12 19:52:45;2.100
24;3.000;;F U R2 F2 R' F U R' F';2022-09-12 19:52:54;3.000
25;3.140;;R U2 R F' R' F' R U2 F;2022-09-12 19:53:05;3.140
26;3.360;;R2 U' F2 R F U' R U2 F2;2022-09-12 19:53:21;3.360
27;2.970;;F' R F U2 F2 R2 U' F R2 U';2022-09-12 19:53:38;2.970
28;4.010;;U R2 U' R F2 R F U2 R';2022-09-12 19:53:49;4.010
29;2.980;;R2 F2 R U' F R2 U' R U';2022-09-12 19:54:01;2.980
30;2.360;;R2 F2 R U2 R F2 U' F2 U;2022-09-12 19:54:13;2.360
31;2.670;;U' R F' R2 F R2 F R2 F';2022-09-12 19:54:23;2.670
32;3.260;;U' F R' U' R2 U R' U2 R';2022-09-12 19:54:34;3.260
33;3.320;;F2 U2 R U2 F2 R' U F2 U2;2022-09-12 19:54:48;3.320
34;3.440;;R2 U2 F2 U2 F R U F U';2022-09-12 19:54:59;3.440
35;2.920;;U F U' F2 R F' R2 U2 F2;2022-09-12 19:55:20;2.920
36;3.800;;U F2 U' F' U2 R U2 R2 F;2022-09-12 19:55:31;3.800
37;2.450;;F2 R2 F U' R U' R2 U F2 U';2022-09-12 19:55:41;2.450
38;2.850;;R' U2 R U2 F2 U' F' R2 F';2022-09-12 19:55:50;2.850
39;3.640;;R2 F' R U F R' F2 U R';2022-09-12 19:56:00;3.640
40;2.860;;U' R' U2 F U2 R' F R U;2022-09-12 19:56:10;2.860
41;2.600;;F2 U2 R2 U' F' U2 F' U2 F;2022-09-12 19:56:36;2.600
