No.;Time;Comment;Scramble;Date;P.1
1;8.900;; (0,-4)/ (-3,-3)/ (4,4)/ (6,0)/ (0,-3)/ (0,-3)/ (-4,0)/ (0,-3)/ (4,-3)/ (0,-4)/ (2,-3)/ (0,-2)/ (4,0);2022-03-26 16:33:18;8.900
2;12.440;; (0,2)/ (1,-2)/ (5,-1)/ (3,0)/ (6,0)/ (-5,0)/ (-3,0)/ (-1,0)/ (4,0)/ (0,-2)/ (0,-3)/ (4,-1)/ (-1,-4);2022-03-26 16:33:43;12.440
3;14.260;; (0,-4)/ (-3,0)/ (-3,0)/ (3,0)/ (-3,0)/ (-5,-2)/ (0,-3)/ (-1,0)/ (3,0)/ (0,-3)/ (5,0)/ (0,-5)/ (-2,0)/ (1,0)/ (-2,0)/;2022-03-26 16:34:14;14.260
4;13.510;; (0,2)/ (3,3)/ (6,0)/ (-3,0)/ (-2,-5)/ (0,-3)/ (5,0)/ (6,-3)/ (2,-5)/ (4,0)/ (-2,-3)/ (2,-3);2022-03-28 17:55:44;13.510
5;12.770;; (4,3)/ (0,6)/ (-3,0)/ (-4,-1)/ (-5,-2)/ (6,-1)/ (6,-3)/ (1,0)/ (3,0)/ (0,-4)/ (0,-2);2022-03-28 17:56:16;12.770
6;13.170;; (-2,0)/ (0,-3)/ (-3,0)/ (5,-1)/ (1,-2)/ (-3,0)/ (-1,0)/ (-3,-3)/ (2,0)/ (1,0)/ (0,-1)/ (-5,0)/ (2,0)/;2022-03-28 17:56:50;13.170
7;9.660;; (0,-1)/ (-5,1)/ (2,2)/ (0,-3)/ (1,-2)/ (3,-1)/ (-3,-3)/ (-5,0)/ (4,0)/ (4,0)/ (0,-4)/;2022-03-28 17:57:21;9.660
8;13.680;; (4,3)/ (-1,5)/ (3,0)/ (3,0)/ (-5,-5)/ (0,-3)/ (-4,0)/ (-3,0)/ (0,-1)/ (2,0)/ (-2,0)/ (-2,0)/ (2,-2);2022-03-28 17:57:51;13.680
9;7.880;; (0,2)/ (4,1)/ (0,-3)/ (-4,-4)/ (3,0)/ (3,0)/ (-3,-2)/ (0,-3)/ (-2,-1)/ (6,-4)/ (0,-4)/ (6,0)/;2022-03-28 17:58:22;7.880
10;12.220;; (0,2)/ (4,-5)/ (-4,2)/ (6,-3)/ (-3,0)/ (0,-2)/ (-3,0)/ (3,-1)/ (6,-5)/ (-4,0)/ (0,-2);2022-03-28 17:59:00;12.220
