No.;Time;Comment;Scramble;Date;P.1
1;10.38;;B D L2 D' B2 F2 U L2 D F2 D R U L2 F2 D' F2 L' B;2022-08-25 21:26:18;10.38
2;12.82;;R2 U' B2 R2 D B2 D L2 D' U2 B2 R' F R B' L2 U B2 U' F2 U2;2022-08-25 21:29:02;12.82
3;12.56;;R2 U B U' F' D F2 L D R2 B2 U L2 D2 B2 U B2 L2 D R2;2022-08-25 21:29:33;12.56
4;16.73;;R' U2 F2 U L2 U' L2 D2 R2 D R2 L U B R2 U F' L' R';2022-08-25 21:29:57;16.73
5;8.63;;L' D' F2 R2 D2 U2 F U2 B' L2 B' D2 R2 U' R B2 F D L2 U;2022-08-25 21:30:26;8.63
6;12.56;;F' B2 R' F2 L2 B2 R2 F2 R' D2 L' B' U' B F2 R2 F U2 L;2022-08-25 21:30:48;12.56
7;12.67;;U R2 U F2 U' R2 D R2 D2 F2 U R' F' L' F2 U' B2 D2 U' L F';2022-08-25 21:31:11;12.67
8;12.91;;B2 R2 D' B2 D B2 U' R2 D' L2 F2 D' R' D L R' F2 L2 U' F' D2;2022-08-25 21:31:37;12.91
9;13.29;;U F2 L2 D2 B2 R2 D R2 B2 L2 D2 B D' F R' B F2 L' D B' D2;2022-08-25 21:32:03;13.29
10;10.86;;L2 F L2 B2 U' B' D R2 U2 R' B2 R' U2 R' B2 R U2 L' D2 F' R2;2022-08-25 21:32:32;10.86
11;11.95;;U2 B2 R' B2 U L' D B' L2 D R2 U2 R2 L2 U F2 U2 L2 F2 B;2022-08-25 21:32:55;11.95
12;14.48;;L' D' F2 L2 D2 R2 U L2 D F2 D' L2 U F L2 B2 R' U B R2 F;2022-08-25 21:33:21;14.48
13;13.60;;B' D' R2 U' L2 D' R2 F2 R2 D' B2 U' R D' R U2 B' D' L R B';2022-08-25 21:33:46;13.60
14;15.62;;U2 R' D2 R' B2 L' D2 B2 R' F2 U2 R' D B2 U F U' B' F' R;2022-08-25 21:34:10;15.62
15;16.02;;U' R2 D2 L2 U' R2 B2 D L2 D2 F D U' L2 B R U B L2 R';2022-08-25 21:34:34;16.02
16;11.68;;D' L2 U2 R2 B2 F2 D2 F' L2 F' L2 F' R D U L D' U2 F R;2022-08-25 21:35:54;11.68
17;13.81;;R' B2 U' R2 U L2 B2 D U B2 F2 L' U R2 B U' F R D' U;2022-08-25 21:36:19;13.81
18;10.91;;R2 F D2 U2 L2 F' L2 U2 F2 L D R2 B' L2 D' B' R' B' U2;2022-08-25 21:36:45;10.91
19;15.44;;U' D2 B2 F2 L R2 D2 L U2 B F' D2 U L' B R;2022-08-25 21:37:08;15.44
20;15.59;;F2 D' F2 L2 D' F2 R2 D L2 B2 D2 R F D2 F' L' D' L R2 F' U;2022-08-25 21:37:37;15.59
21;12.07;;L2 F' L D2 R2 U2 R' U2 B2 F2 R2 F2 R' B2 F R D' L D U2 L;2022-08-25 21:38:04;12.07
22;13.04;;F2 L2 F' L2 U2 F D2 B' L2 F' L2 D L' U2 B D' R2 D2 B2 L;2022-08-25 21:38:32;13.04
23;16.55;;B2 U' B R' B2 D F' B2 D' U2 L2 F2 L' U2 R2 B2 U2 D2 R' B2 L';2022-08-25 21:38:55;16.55
24;14.66;;U' B2 D R2 F2 D R2 U' L2 F2 R' B F2 D2 F' U' R2 F2 D2 B;2022-08-25 21:39:28;14.66
25;16.23;;B' L2 F R2 U2 B2 D2 F U2 B D U L B D R2 U B' R U';2022-08-25 21:39:57;16.23
26;14.27;;B' R2 U F2 U' R2 F2 D' B2 L2 U' L2 U' F' U2 F2 L' D' R F' D';2022-08-26 17:36:22;14.27
27;12.84;;L' F' R2 B2 L2 U2 F L2 B' U2 R2 U2 F D L' F' R' D2 B L U;2022-08-26 17:36:49;12.84
28;11.40;;U' L2 U L2 U' F2 D2 B2 D L2 B2 R' U' R2 D' B' D2 B2 D2;2022-08-26 17:37:14;11.40
29;16.40;;B2 D' B2 L2 U' F' B' R D F' U2 D2 B R2 F2 L2 B U2 F R2;2022-08-26 17:37:39;16.40
30;18.15;;B2 D B R' L B' R' L2 B F2 U' B2 D L2 F2 U' F2 L2 U' R2 D';2022-08-26 17:38:09;18.15
31;16.49;;D' F2 D R2 F2 U' L2 U R2 U' L' B2 D2 R U' R' B' F L' R';2022-08-26 17:38:40;16.49
32;13.31;;U2 F2 B' D' L' U2 L B' L' U2 B2 U R2 U' D2 F2 L2 U R2 U2;2022-08-26 17:39:07;13.31
33;10.59;;B U R2 U' F2 D' L2 F2 U2 L2 U F2 U L R2 D' U L B R;2022-08-26 17:39:36;10.59
34;10.94;;L' B U2 D' L2 U R' D2 B L2 F2 U D2 L2 D2 L2 B2 U F2 U B2;2022-08-26 17:39:59;10.94
35;10.59;;F' L' R2 U L2 U2 B2 D F2 U2 B2 F2 L2 B2 F' R2 U B2 D' R F';2022-08-26 17:40:25;10.59
36;13.25;;F' R' F' D2 L' U' B R U' L2 B2 D2 L2 F2 D2 L2 D B2 D2 R2 B;2022-08-26 17:40:53;13.25
