No.;Time;Comment;Scramble;Date;P.1
1;2:05.39;;"  R-- D++ R++ D-- R++ D++ R-- D-- R++ D++ U
  R++ D++ R-- D++ R++ D-- R++ D++ R++ D++ U
  R++ D-- R-- D-- R-- D++ R-- D-- R-- D++ U
  R++ D++ R++ D++ R++ D-- R-- D-- R++ D-- U'
  R++ D-- R++ D-- R++ D-- R++ D++ R++ D-- U'
  R++ D-- R++ D++ R-- D++ R++ D++ R-- D++ U
  R++ D++ R++ D++ R-- D-- R-- D++ R-- D++ U
";2022-11-26 12:19:02;2:05.39
2;2:00.94;;"  R-- D-- R-- D-- R-- D++ R-- D-- R-- D-- U'
  R-- D++ R++ D-- R++ D++ R-- D++ R++ D++ U
  R-- D++ R++ D-- R++ D-- R++ D-- R++ D++ U
  R-- D-- R++ D-- R-- D-- R-- D++ R++ D++ U
  R++ D++ R-- D++ R++ D++ R-- D++ R-- D-- U'
  R-- D-- R-- D-- R++ D-- R-- D++ R++ D-- U'
  R-- D-- R++ D++ R++ D++ R++ D-- R-- D-- U'
";2023-01-01 12:25:53;2:00.94
3;2:03.56;;" +- -+ -+ -+ -- U
 -- +- -- -+ +- U'
 -+ -- -+ -+ +- U
 ++ +- -- -- +- U'
 +- ++ -+ ++ -- U'
 +- ++ ++ ++ -- U
 -+ -+ +- -+ -- U'
";2023-01-01 12:33:37;2:03.56
4;2:15.97;;" -+ +- -+ +- ++ U'
 -+ +- ++ -- ++ U'
 +- ++ +- ++ -+ U
 +- -- ++ +- +- U
 ++ +- +- ++ -+ U
 -+ -+ -- ++ +- U'
 -- -- -+ -+ -+ U
";2023-01-01 12:36:47;2:15.97
5;2:16.74;;" -+ -+ -- +- ++ U'
 -- -+ -+ -+ -- U'
 +- -- +- -+ ++ U
 -+ -- -- +- ++ U
 -+ -- ++ -- -+ U
 -- ++ ++ ++ +- U
 -- -- ++ +- -+ U
";2023-01-01 12:39:53;2:16.74
6;2:25.59;;" ++ -+ ++ -+ -+ U'
 -+ -+ -- -- -- U
 -- -+ ++ ++ -+ U
 -+ -+ +- ++ -+ U'
 ++ +- +- -+ -+ U'
 ++ ++ ++ +- ++ U
 +- +- +- -- -+ U
";2023-01-01 12:43:04;2:25.59
7;2:12.50;;" ++ -+ ++ ++ -+ U
 +- -- ++ +- -- U'
 -+ +- +- ++ -- U
 -+ +- -+ +- ++ U
 +- -- +- +- ++ U'
 +- ++ -+ +- -- U
 -+ -+ ++ -+ +- U
";2023-01-01 12:46:13;2:12.50
8;1:54.10;;" -- -+ -- +- -+ U'
 ++ +- -+ -- -+ U
 -- ++ -+ -+ -+ U
 +- ++ -+ ++ ++ U
 -- +- +- +- -+ U'
 -+ +- +- -+ -+ U
 -- ++ -+ -+ +- U
";2023-01-01 12:49:06;1:54.10
9;1:40.83;;" -- -- +- -+ -- U'
 -- -- -- -+ +- U'
 -- -+ -- -- -- U
 -- -+ ++ -- +- U'
 ++ -- ++ ++ -- U'
 -+ +- -- +- -+ U'
 -+ -+ +- +- -- U
";2023-01-01 12:54:23;1:40.83
10;2:22.00;;" ++ -- ++ -- -+ U
 -+ -+ +- -- +- U
 -- ++ ++ -- -+ U'
 -- ++ ++ ++ -+ U
 +- +- -+ ++ ++ U'
 ++ ++ -- +- +- U'
 -+ +- ++ -- +- U
";2023-01-01 12:57:43;2:22.00
