No.;Time;Comment;Scramble;Date;P.1
1;9.46;;F2 R U' R' U F' U' F2 U';2022-06-24 18:50:39;9.46
2;7.66;;U2 F2 U2 F' R' U F' R' U;2022-06-24 18:51:15;7.66
3;5.45;;R F2 U2 R F' R' F U2 R';2022-06-24 18:51:43;5.45
4;5.58;;F U2 F U2 R2 U F2 U2 F';2022-06-24 18:52:23;5.58
5;5.35;;U2 R' U' R2 F2 R' F2 R U';2022-06-24 18:53:20;5.35
6;6.50;;F U2 R2 U F' R2 U F2 R';2022-06-24 18:53:43;6.50
7;8.05;;F2 R F' R F R' F R F';2022-06-24 18:54:22;8.05
8;5.58;;F U F' U' F U' F R' F2;2022-06-24 18:55:21;5.58
9;7.42;;F2 U' F2 R U R U' F2 U';2022-06-24 18:56:17;7.42
10;4.66;;U2 F' R' U2 R2 U' F' R F';2022-06-24 18:58:24;4.66
11;1.10;;U R2 U2 F2 U2 F2 R2 U2 R';2022-06-24 19:00:23;1.10
12;5.58;;F U R2 U' F U' R' U2 R' U2;2022-06-24 20:16:29;5.58
13;7.55;;R F2 R' F2 R F' U R2 F R2;2022-06-24 20:17:02;7.55
14;6.06;;F R U R U2 R2 F' R2 F2;2022-06-24 20:17:39;6.06
15;7.07;;R U' F' R2 F' R F2 U' R;2022-06-24 20:18:04;7.07
16;5.54;;F2 R' F2 R F' R2 F' U2 F;2022-06-24 20:20:00;5.54
17;4.45;;U2 R F R2 U R2 U' F R2;2022-06-24 20:22:50;4.45
18;7.50;;U' F2 U' R' U2 F R' U2 R';2022-06-24 20:23:15;7.50
19;7.29;;R2 F U2 R2 U2 R2 F' U2 F';2022-06-24 20:25:26;7.29
20;7.05;;U F' R2 F U' F' R2 F2 R2;2022-06-24 20:26:31;7.05
21;6.94;;R F2 R U' F' R F2 R U2;2022-06-24 20:27:10;6.94
22;6.01;;R U R2 U' F2 U R2 U F';2022-06-24 20:28:50;6.01
23;6.19;;F U' R' U R U2 F2 R U2;2022-06-24 20:29:25;6.19
24;5.74;;F U R2 F' R' F2 R2 F' R;2022-06-24 20:31:08;5.74
25;7.11;;F' U' F R' U R' F' R' U';2022-06-24 20:31:40;7.11
26;7.52;;R' F' R U2 R U' F R U';2022-06-24 20:32:42;7.52
27;5.54;;R2 F U' R' F R2 F' R F2;2022-06-24 20:33:04;5.54
28;6.95;;R2 F2 R U F' R U2 F' U';2022-06-24 20:33:20;6.95
29;7.96;;F' R2 F R2 F' R2 U F U';2022-06-24 20:35:16;7.96
30;7.45;;F R F R2 F R F U2 F;2022-06-24 20:35:51;7.45
31;3.98;;F U' F U' R' U2 R F' R2;2022-06-24 20:36:36;3.98
32;5.34;;R2 U2 R2 U R2 U F2 R' F;2022-06-24 20:37:58;5.34
33;5.43;;F U' R2 U F' R' F R' U';2022-06-24 20:39:23;5.43
34;5.50;;U2 R F R U' F' R' F' U';2022-06-24 20:40:05;5.50
35;5.44;;U' R2 U' F2 U F2 U' F2 U2;2022-06-24 20:41:24;5.44
36;5.33;;F' U R2 F2 U2 F' U2 F' U';2022-06-24 20:41:59;5.33
37;6.85;;R F' U R2 F' U F R2 U';2022-06-24 20:42:30;6.85
38;7.54;;F2 U' F R F2 U2 R' U F;2022-06-24 20:44:50;7.54
39;6.43;;U R U F2 U R F2 U' F';2022-06-24 20:45:14;6.43
40;6.03;;F U R F2 U' F U' F R;2022-06-24 20:45:42;6.03
41;6.29;;U2 F' U R2 U R2 F2 U' F';2022-06-24 20:46:30;6.29
